,period,max_drawdown,begin,end
3,300 days,0.12902516150648535,2015-01-07,2015-11-03
5,766 days,0.12737835350465876,2015-11-06,2017-12-11
6,4 days,0.006469266007642638,2017-12-11,2017-12-15
4,3 days,0.004195095309398766,2015-11-03,2015-11-06
8,2 days,0.003224418067376833,2017-12-18,2017-12-20
0,3 days,0.0,2015-01-02,2015-01-05
1,1 days,0.0,2015-01-05,2015-01-06
2,1 days,0.0,2015-01-06,2015-01-07
7,3 days,0.0,2017-12-15,2017-12-18
9,1 days,0.0,2017-12-20,2017-12-21
10,1 days,0.0,2017-12-21,2017-12-22
11,4 days,0.0,2017-12-22,2017-12-26
